Plant,Throughput,Target,Isolates,Frequency,Genus,Animal,VLT
AB015,208893,58,3,Week,E.coli,Pigs,
AB018,44732,28,1,Week,,,
AB032,116580,46,2,Week,,,
AB078,26970,18,1,Fortnight,,,
AB081,6132,6,1,Fortnight,,,VLT
ME069,134947,46,2,Week,,,
ME077,3293,6,1,Fortnight,,,VLT
ME103,202431,58,3,Week,,,
ME131,59973,34,2,Week,,,
AB015,208893,58,3,Week,Enterococcus,,
AB018,44732,28,3,Week,,,
AB032,116580,46,3,Week,,,
AB078,26970,18,1,Week,,,
AB081,6132,6,1,Fortnight,,,VLT
ME069,134947,46,3,Week,,,
ME077,3293,6,1,Fortnight,,,VLT
ME103,202431,58,3,Week,,,
ME131,59973,34,3,Week,,,
AB015,208893,58,5,Week,Campylobacter,,
AB018,44732,28,5,Week,,,
AB032,116580,46,5,Week,,,
AB078,26970,18,5,Week,,,
AB081,6132,6,1,Fortnight,,,VLT
ME069,134947,46,5,Week,,,
ME077,3293,6,1,Fortnight,,,VLT
ME103,202431,58,5,Week,,,
ME131,59973,34,5,Week,,,
ME016,77925,12,1,Week,E.coli,Very young calves,
ME018,56730,8,1,Week,,,
ME021,54410,8,1,Week,,,
ME023,118096,30,2,Week,,,
ME039,89508,16,2,Week,,,
ME040,31283,5,1,Fortnight,,,
ME043,126339,30,3,Week,,,
ME047,38311,6,1,Fortnight,,,
ME056,83566,15,1,Week,,,
ME058,88047,16,2,Week,,,
ME066,23326,4,1,Fortnight,,,
ME075,161851,40,3,Week,,,
ME078,21668,4,1,Fortnight,,,
ME080,83987,15,1,Week,,,
ME086,46752,8,1,Week,,,
ME100,77494,12,1,Week,,,
ME102,117894,30,2,Week,,,
ME104,63168,10,1,Week,,,
ME108,69046,10,1,Week,,,
ME112,16394,4,1,Fortnight,,,
ME132,2083,1,1,Fortnight,,,
ME137,4947,1,1,Fortnight,,,
ME500,44367,8,1,Week,,,
SPM51,34992,6,1,Fortnight,,,
ME034,201,1,1,Fortnight,,,
ME016,77925,12,4,Week,Enterococcus,,
ME018,56730,8,2,Week,,,
ME021,54410,8,2,Week,,,
ME023,118096,30,4,Week,,,
ME039,89508,16,5,Week,,,
ME040,31283,5,1,Week,,,
ME043,126339,30,5,Week,,,
ME047,38311,6,1,Week,,,
ME056,83566,15,5,Week,,,
ME058,88047,16,4,Week,,,
ME066,23326,4,1,Fortnight,,,
ME075,161851,40,5,Week,,,
ME078,21668,4,1,Fortnight,,,
ME080,83987,15,4,Week,,,
ME086,46752,8,2,Week,,,
ME100,77494,12,4,Week,,,
ME102,117894,30,4,Week,,,
ME104,63168,10,2,Week,,,
ME108,69046,10,2,Week,,,
ME112,16394,4,1,Fortnight,,,
ME132,2083,1,1,Fortnight,,,
ME137,4947,1,1,Fortnight,,,
ME500,44367,8,2,Week,,,
SPM51,34992,6,2,Fortnight,,,
ME034,201,1,1,Fortnight,,,
ME016,77925,12,5,Week,Campylobacter,,
ME018,56730,8,5,Week,,,
ME021,54410,8,5,Week,,,
ME023,118096,30,5,Week,,,
ME039,89508,16,5,Week,,,
ME040,31283,5,5,Week,,,
ME043,126339,30,5,Week,,,
ME047,38311,6,5,Week,,,
ME056,83566,15,5,Week,,,
ME058,88047,16,5,Week,,,
ME066,23326,4,5,Week,,,
ME075,161851,40,5,Week,,,
ME078,21668,4,5,Week,,,
ME080,83987,15,5,Week,,,
ME086,46752,8,5,Week,,,
ME100,77494,12,5,Week,,,
ME102,117894,30,5,Week,,,
ME104,63168,10,5,Week,,,
ME108,69046,10,5,Week,,,
ME112,16394,4,5,Week,,,
ME132,2083,1,1,Week,,,
ME137,4947,1,1,Week,,,
ME500,44367,8,5,Week,,,
SPM51,34992,6,5,Week,,,
ME034,201,1,1,Week,,,
NMD002,,9,1,Fortnight,E.coli,Poultry,
NMD008,,88,3,Week,,,
NMD012,,53,2,Week,,,
NMD013,,55,2,Week,,,
NMD014,,11,1,Fortnight,,,
NMD016,,44,2,Week,,,
NMD019,,35,2,Week,,,
NMD025,,1,1,Quarter,,,VLT
NMD027,,1,1,4 weeks,,,VLT
NMD028,,1,1,Quarter,,,VLT
NMD029,,1,1,Quarter,,,VLT
NMD031,,1,1,Fortnight,,,VLT
NMD002,,9,1,Fortnight,Enterococcus,,
NMD008,,88,3,Week,,,
NMD012,,53,3,Week,,,
NMD013,,55,3,Week,,,
NMD014,,11,1,Fortnight,,,
NMD016,,44,2,Week,,,
NMD019,,35,3,Week,,,
NMD025,,1,1,Quarter,,,VLT
NMD027,,1,1,Fortnight,,,VLT
NMD028,,1,1,Quarter,,,VLT
NMD029,,1,1,Quarter,,,VLT
NMD031,,1,1,Fortnight,,,VLT
NMD002,,9,1,Fortnight,Campylobacter,,
NMD008,,88,3,Week,,,
NMD012,,53,3,Week,,,
NMD013,,55,3,Week,,,
NMD014,,11,1,Fortnight,,,
NMD016,,44,3,Week,,,
NMD019,,35,3,Week,,,
NMD025,,1,1,Quarter,,,VLT
NMD027,,1,1,4 weeks,,,VLT
NMD028,,1,1,Quarter,,,VLT
NMD029,,1,1,Quarter,,,VLT
NMD031,,1,1,Fortnight,,,VLT
